name,about_the_space,price,saves,link,location
Affordable And Unique Photo Studio With Included Equipment,"We offer a space that is 35' x 30' x 10'. This space has charm and a variety of options for shooting with an industrial feel. The space has ample working space for your team of makeup artist, hairstylist or offers clothing rack for garments. The space is furnished with 2 sofas for relaxing or if you want to make them a part of your creation feel free. We also have a kitchen area that is equipped with sink and work area for food or as a setting for shoots. Our restrooms are located just right outside our doors with separate space for both male and female. 

Conveniently located in Long Island City the neighborhood offers much New York charm and feel.

In-house Equipment
​
Dynalite MK4-2302V RoadMax 400W
2 Profoto 600  Flash
2 Elinchrom Style BX 500 Ri Compact MonoLight 
10 x 10 ft. Rolls of Seamless Photo Background Paper (White, Black)
4 Soft Boxes
5 Reflective Umbrellas
9 Light Stands
Lightning Trigger
​
Hair & Make-up Station
Сlothes hanger, Steamer
Speakers 
Wi-Fi


Equipment for extra charge
​
Fog  Machine   - $20
Projector   -$20
Canon EOS-1D X  -$50
Canon 70-200mm f/2.8L IS II USM -$30
Canon 17-40mm f/4 L  -$20 
ColorChecker Passport - $10
Background Paper (Green, Blue)  -$20
Roller Track Dolly System (7 feet) - $20
Video Light",50,337,https://www.peerspace.com/pages/listings/58b7280a98e6b90a00d344d3,"Long Island City, Queens County, NY"
Spacious Bushwick Loft -Perfect For Photo/video Shoots!,"This 1000 sqft. loft is perfect for photo and video shoots. Tons of natural light with large southern facing windows spanning one side of apartment. 9' white seamless roll available for use as well as 10'x 8' blank white wall and 12' ceilings. Kitchen, bathroom, and living room available for use during shooting. Free Wifi available.",150,76,https://www.peerspace.com/pages/listings/5918e8cd7095140a00a9550b,"Bushwick, Kings County, NY"
Conference Room On 34th Street For 12 - Meeting Room C,"Conference room features:

-12 person capacity
-Modern, Sustainable Wood Laminate Conference Table & Matching Serving Credenza
-Ergonomic Black Leather Executive Designer Chairs
-55"""" Samsung High-Definition LED TV for your Presentations
-VoIP High Definition Teleconferencing with Microphones at Table Ends
-High-Definition Video Conferencing upon Request
-HDMI & VGA inputs for Personal Computers
-Electrical Receptacles in Table for Easy Access to Power
-Wifi & Wired Ethernet Connectivity
-Presentation Easel with Whiteboard & Markers
-Catering Available",85,2,https://www.peerspace.com/pages/listings/597600eab1700d6d01a81ee8,"Midtown, New York, NY"
Bushwick Spacious Photo Studio,"Do you need a space for your creative work?

USES:
PHOTOSHOOTS
FILM SHOOTS 
SCREENINGS 
MULTIMEDIA PERFORMANCES 
STUDIO WORKSPACE 
OTHER CREATIVE PROJECTS

The open nature of the space allows MISE-EN_PLACE Bushwick to suit many creative needs including photography, videography, theatre, concert performances, and much more. This is conveniently located near M train (Central, 1 min) and L train (DeKalb Av, 5 min)

DIMENSIONS:
The space is ca. 720 sq. ft, approx. 27ft x 27ft x 11ft (LxWxH)
The rental area is roughly 500 sq. ft

RATES:
$60/hour (including a 9ft wide white paper backdrop)",60,168,https://www.peerspace.com/pages/listings/579b8988abe58d09009f4198,"Bushwick, Kings County, NY"
Huge Gorgeous Artists Loft In Trendy Bushwick,"The perfect location for the visiting artist, photographer or creative.  At over 1700 square feet, this is one of the largest lofts available in the bustling art-world mecca that is Williamsburg/East Williamsburg/Bushwick. Extra charges may apply as needed for: backdrop paper, lighting rentals, projector, sound system, etc. 

We only allow private events in the space. No public or promoted events.",100,196,https://www.peerspace.com/pages/listings/56f427eb4a97311600da6705,"East Williamsburg, Kings County, NY"
Photo Studio 1900 Sqft / 12 Ft Ceilings,"Features:

1900 Sq ft.
12 ft Ceilings
Complimentary Equipment Available
Free on-site Private Parking Lot
1 Block Away From F & G Trains
Quiet area with no noise restrictions
Wardrobe Racks & Professional Clothing Steamers
Private Bathroom with Shower
Lounge Area
Hair & Makeup Stations
Stereo System with iPod Dock
Full Coverage WiFi
Complimentary Coffee & Water Available
C-Stands, V-Flats
Reflectors
Sandbags
Black-out Capabilities
Speedtron 1250cx Power Pack with 2 Heads (Multiple Modifiers & Umbrellas)
(Full equipment list available upon request)

Available with Additional Fees:

Catering
Makeup and Hair Services
Casting

Looking for stylists, make-up artist, or hair? Need help managing castings, call sheets, or catering? Our extensive network of photographers, producers, hair & makeup & stylists, and post-production specialists have years of experience in shooting covers, advertising campaigns, editorials, lookbooks and more. From hair and make-up, to casting and catering, to photography, lighting, and post-production, we can make sure your shoot runs smoothly. Feel free to contact us in order to learn more about our full production services.

If you need additional equipment that we don't have, there is a rental agency on site.",82,181,https://www.peerspace.com/pages/listings/57ebfb538dd61f0900509102,"Gowanus, Kings County, NY"
Uws Photo Studio With Backdrops And Alien Bee Lighting + Softboxes Included,"Our Upper West Side photography studio is well equiped for portrait or commercial shoots. The studio includes a remote controlled backdrop system with Savage 107"" white, grey and black included with the rental. Alien bee lighting, stands and softboxes are included. 

PLEASE READ: While we provide a radio trigger we highly recommend you bring sync cords as backup since we cannot guarantee functionality with your camera. If you are a novice with studio STROBE lighting we will provide a 15 minute education/instuction to help you with your shoot for $25. We will not provide assistance with camera or lighting setups without a fee. 

If you need extra space such as a dressing room for styling/hair/makeup or natural light studio, these are also available for an additional fee. 

Our 700 square foot studio also features a colored wall backdrop with 5 different colors. 

Features include:

700 Sq Ft Studio space
Backdrops-White, Black, & Grey - Motored backdrop roller
Alien Bee Light (800) 
Alien Bee Light (800) 
Alien Bee Light (800) 
Alien Bee Light (400) 
1 47"" octobox
1 32x40"" rectangular softbox
2 10x36"" strip boxes that are mounted to the wall
1 45"" umbrella
Seamless backdrop roller
Wardrobe Rack
Professional Steamer
2x 10 Foot Ladders
A/C
Private Bathroom
Full Length Mirror
Elevator
Extension Cables
WiFi
2 6ft. Folding Tables
6 White Folding Chairs
Iron",65,33,https://www.peerspace.com/pages/listings/590cd3527095140a00a9248f,"Upper West Side, New York, NY"
Studio In The Heart Of Dumbo,"Located in the heart of DUMBO, we offer you a 700 sq. ft contemporary and versatile space that provides a variety of options for your next shoot, casting call or meeting. 

This open floor studio features textured white brick walls and hardwood floors, and ample working space for you and your team. 

For larger production needs, we can hire an assistant to carry and assist with EQ for $40/hr.* Elevator and freight elevator accessible, with restrooms located down the hall. 

We are extremely friendly, easygoing and want you to feel at home with us. If there is anything we can do to make your experience more enjoyable, please don’t hesitate to let us know!


Equipment:
*Litepanels 1X1 Bi-Color Variable Color Temperature LED Flood Light (x2)
*Westcott Spiderlite TD6 36 x 48"" Shallow Softbox, 300W Fluorescent Capacity
*Raya EFS-24 Softbox (24 x 24"") 
*45” umbrellas with removable covers (x2)
*5-in-1 Reflector Disc - 40.5"" (1 m)  (x3)
*Speedlite YN600EX-RT II
*Speedlite YN560-III
*Speedlite YN560-II
*Speedlite Triggers
*Savage Multiple Polevault System (12.6' Width)
*Seamless Background Paper in Black, Fashion Gray, White and Blue (9’ x 36')
*Miller Compass 15 Tripod
*Stands and grips
*Extension cords x2
*A-Clamps x6
*Gaffer’s Tape
*Color Gels & Filters",50,11,https://www.peerspace.com/pages/listings/597ba4e9cc70a58801c9ca49,"Dumbo, Kings County, NY"
"Unique Two Floor Photo Studio Full Of Light In Greenpoint, Brooklyn. Studio 1 - Indoor","** Prices in this ad are for Studio A (indoor) only*
** You can see prices for our Studio A + Studio B ad (indoor + outdoor) for production in the link below or clicking my profile picture. 
https://www.peerspace.com/pages/listings/5877b2d42d443a1f00a15137

Unique two-floor private studio in the heart of Greenpoint, Brooklyn, conveniently located one block away from the Greenpoint Ave. stop on the G train (India Street exit)

Indoor space is a multilevel space with 1300 sq/ft in total with a maximum ceiling height of 13ft, access to private bathroom and kitchen. 
Large windows provide substantial natural lighting.
The second floor has access to a 1000 sqft private rooftop with unique views of Manhattan and Greenpoint. 

Greenpoint has a wide selection of all kind of restaurants within less than 10 minutes walk ( excellent vegan restaurant literally 10 steps far from our studio ). We also offer a selection of the best delivery restaurants to all our clients. 

*Booking of this space is subject to additional fees depending on client needs.
** Price per hour for weekend photo and video-shoots is $95/hour

Capabilities:

•Natural Light (Orientation West)
•High Ceilings
•Power: 300 amps
•Sound System with DJ or Phone/Laptop Connection
•Interconnecting Space (Studio B)
•Wireless Internet
•Access to Fax + Printer
•Access to Private Bathroom
•Access to Private Kitchen

Our venue has 2 available studios (indoor and outdoor) that can be booked individually, in combination or exclusively. Both our unique indoor space and outdoor space boasts over 2,300 square feet and transforms with each performance, gala, corporate and private event. Our space his a design and architecture atelier with a variety of rental option, customizable packages and an attentive international events team committed to exemplary service. 

What's included:

White  9ft backdrop
Black 9ft backdrop
V-flats
Gaff Tape
Full length mirror
Garment racks
Hair & makeup area
Steamer
Two folding tables
Access to private bathroom with shower
Access to kitchen (water/coffee/tea provided)
Hi-speed Wifi
Stereo sound system
AC & Heat

Available for additional rental:

Photography lighting equipment set (includes two strobes and accessories) available for a flat rate fee
Private access to rooftop and charcoal grill
Show Cards (Black/White - Silver/White)",75,159,https://www.peerspace.com/pages/listings/56de41cd5066e60900114337,"Greenpoint, Kings County, NY"
'Triplex With Glass/deck Terrace And Natural Pond Garden With 2 Water Fall.',"It is a Landmark Brownstone designed by the Architect John Young located at the heart of Stuyvesant Heights,Brooklyn.The neighborhood is nice, considerate, multicultural...

-Fun Triplex House and Garden Capacity: 40 persons Max.
- 2700 Sqft Triplex space (900 sqft each floor) +1000 Sqft Garden with a Natural Pond (17x 7 feet) with 
2 Water Fall.

We DO private and Professional events:

-Video shoot (music video, commercial TV and other)
-Photo Shoot (Fashion, Products and others)
- Film
- Film or documentary Screening
-Products Launching
-Book signing
-Cocktails (finger food, catering)
-Baby Showers
-Anniversary
-Birthdays
- Bridal Showers
-Meetings
-Spiritual meetings

We do NOT do:
-Seating dinner
-Weeding
-Weeding Proposal
-Sweet Sixteen
-Graduate Party


-The Parlor floor has a hight ceiling and is south oriented.
- 300 Sqft glass deck with a beautiful view on the garden and on the beautiful Church colors glass windows.
-View of the garden floor through terrace's glass floor. (Amazing shoot location!)
-Glass deck has a beautiful long Glass handrail. 

-Access to the 1000 Sqft Landscaped Zen Garden through a round metal stairs from the terrace 
or from the Garden floor.
-Access to a Total of 3700 Sqft.
-Natural Pond in the garden.
-Two Water fall with Buddha Statues.
- Access to 2 floors + Art Studio (Ink painting and Mixed media) either from the garden going down the white outdoor stairs or from the inside stairs from the garden floor.
-View of the sky from the Art Studio trough a Glass floor.(Amazing shoot location!)
-Beautiful at night with garden and water design lights. 

Includes:
-Contemporary and Design Dramatic settings
-40 chairs and 3 tables
-Wifi
-2 full bathroom
-Kitchen access, Coffee maker, refrigerator available for use.
-Makeup Station.
-2 wardrobe big closets.
-Beautiful outdoor garden,pond and water falls.
-2 wood fire place working on the parlor floor.
-Iron and iron small table.

-We are 20 minutes away from Manhattan, with the A or C line.
-Our Subway stop is ""Kingston-Throop Ave"", 1 block away form the house.
Also Stop at ""Utica"" but it will be 5 blocks away from the house.
Park your car in front of the house.
House is one block from Fulton street.",300,136,https://www.peerspace.com/pages/listings/58c313ff7d6da61700932c07,"Bedford-Stuyvesant, Kings County, NY"
